Nes,M,pA,rep,sweeps
200.0,1,0.0001,334,94
200.0,1,0.0001,335,91
200.0,1,0.0001,336,74
200.0,1,0.0001,337,79
200.0,1,0.0001,338,80
200.0,1,0.0001,339,88
200.0,1,0.0001,340,94
200.0,1,0.0001,341,90
200.0,1,0.0001,342,91
200.0,1,0.0001,343,112
200.0,1,0.0001,344,81
200.0,1,0.0001,345,93
200.0,1,0.0001,346,82
200.0,1,0.0001,347,73
200.0,1,0.0001,348,84
200.0,1,0.0001,349,78
200.0,1,0.0001,350,97
200.0,1,0.0001,351,81
200.0,1,0.0001,352,70
200.0,1,0.0001,353,81
200.0,1,0.0001,354,86
200.0,1,0.0001,355,93
200.0,1,0.0001,356,96
200.0,1,0.0001,357,87
200.0,1,0.0001,358,96
200.0,1,0.0001,359,91
200.0,1,0.0001,360,78
200.0,1,0.0001,361,85
200.0,1,0.0001,362,91
200.0,1,0.0001,363,83
200.0,1,0.0001,364,81
200.0,1,0.0001,365,91
200.0,1,0.0001,366,94
200.0,1,0.0001,367,73
200.0,1,0.0001,368,71
200.0,1,0.0001,369,79
200.0,1,0.0001,370,84
200.0,1,0.0001,371,83
200.0,1,0.0001,372,95
200.0,1,0.0001,373,97
200.0,1,0.0001,374,86
200.0,1,0.0001,375,70
200.0,1,0.0001,376,85
200.0,1,0.0001,377,88
200.0,1,0.0001,378,93
200.0,1,0.0001,379,78
200.0,1,0.0001,380,94
200.0,1,0.0001,381,85
200.0,1,0.0001,382,88
200.0,1,0.0001,383,80
200.0,1,0.0001,384,86
200.0,1,0.0001,385,73
200.0,1,0.0001,386,68
200.0,1,0.0001,387,84
200.0,1,0.0001,388,91
200.0,1,0.0001,389,81
200.0,1,0.0001,390,86
200.0,1,0.0001,391,73
200.0,1,0.0001,392,68
200.0,1,0.0001,393,84
200.0,1,0.0001,394,99
200.0,1,0.0001,395,84
200.0,1,0.0001,396,94
200.0,1,0.0001,397,88
200.0,1,0.0001,398,75
200.0,1,0.0001,399,85
200.0,1,0.0001,400,77
200.0,1,0.0001,401,97
200.0,1,0.0001,402,81
200.0,1,0.0001,403,86
200.0,1,0.0001,404,79
200.0,1,0.0001,405,99
200.0,1,0.0001,406,88
200.0,1,0.0001,407,82
200.0,1,0.0001,408,84
200.0,1,0.0001,409,99
200.0,1,0.0001,410,87
200.0,1,0.0001,411,72
200.0,1,0.0001,412,76
200.0,1,0.0001,413,81
200.0,1,0.0001,414,83
200.0,1,0.0001,415,81
200.0,1,0.0001,416,71
200.0,1,0.0001,417,79
200.0,1,0.0001,418,94
200.0,1,0.0001,419,86
200.0,1,0.0001,420,83
200.0,1,0.0001,421,83
200.0,1,0.0001,422,106
200.0,1,0.0001,423,77
200.0,1,0.0001,424,82
200.0,1,0.0001,425,66
200.0,1,0.0001,426,81
200.0,1,0.0001,427,82
200.0,1,0.0001,428,92
200.0,1,0.0001,429,71
200.0,1,0.0001,430,86
200.0,1,0.0001,431,85
200.0,1,0.0001,432,89
200.0,1,0.0001,433,84
200.0,1,0.0001,434,90
200.0,1,0.0001,435,94
200.0,1,0.0001,436,84
200.0,1,0.0001,437,88
200.0,1,0.0001,438,95
200.0,1,0.0001,439,90
200.0,1,0.0001,440,91
200.0,1,0.0001,441,80
200.0,1,0.0001,442,85
200.0,1,0.0001,443,87
200.0,1,0.0001,444,64
200.0,1,0.0001,445,71
200.0,1,0.0001,446,82
200.0,1,0.0001,447,112
200.0,1,0.0001,448,73
200.0,1,0.0001,449,74
200.0,1,0.0001,450,89
200.0,1,0.0001,451,85
200.0,1,0.0001,452,72
200.0,1,0.0001,453,91
200.0,1,0.0001,454,83
200.0,1,0.0001,455,81
200.0,1,0.0001,456,86
200.0,1,0.0001,457,89
200.0,1,0.0001,458,77
200.0,1,0.0001,459,77
200.0,1,0.0001,460,73
200.0,1,0.0001,461,80
200.0,1,0.0001,462,75
200.0,1,0.0001,463,96
200.0,1,0.0001,464,73
200.0,1,0.0001,465,76
200.0,1,0.0001,466,80
200.0,1,0.0001,467,74
200.0,1,0.0001,468,84
200.0,1,0.0001,469,77
200.0,1,0.0001,470,88
200.0,1,0.0001,471,96
200.0,1,0.0001,472,80
200.0,1,0.0001,473,92
200.0,1,0.0001,474,87
200.0,1,0.0001,475,85
200.0,1,0.0001,476,85
200.0,1,0.0001,477,81
200.0,1,0.0001,478,96
200.0,1,0.0001,479,99
200.0,1,0.0001,480,91
200.0,1,0.0001,481,70
200.0,1,0.0001,482,74
200.0,1,0.0001,483,99
200.0,1,0.0001,484,82
200.0,1,0.0001,485,82
200.0,1,0.0001,486,80
200.0,1,0.0001,487,79
200.0,1,0.0001,488,94
200.0,1,0.0001,489,97
200.0,1,0.0001,490,79
200.0,1,0.0001,491,82
200.0,1,0.0001,492,77
200.0,1,0.0001,493,90
200.0,1,0.0001,494,74
200.0,1,0.0001,495,80
200.0,1,0.0001,496,85
200.0,1,0.0001,497,83
200.0,1,0.0001,498,101
200.0,1,0.0001,499,94
200.0,1,0.0001,500,84
200.0,1,0.0001,501,87
200.0,1,0.0001,502,97
200.0,1,0.0001,503,78
200.0,1,0.0001,504,85
200.0,1,0.0001,505,66
200.0,1,0.0001,506,80
200.0,1,0.0001,507,77
200.0,1,0.0001,508,90
200.0,1,0.0001,509,67
200.0,1,0.0001,510,71
200.0,1,0.0001,511,91
200.0,1,0.0001,512,78
200.0,1,0.0001,513,77
200.0,1,0.0001,514,86
200.0,1,0.0001,515,75
200.0,1,0.0001,516,81
200.0,1,0.0001,517,93
200.0,1,0.0001,518,99
200.0,1,0.0001,519,83
200.0,1,0.0001,520,88
200.0,1,0.0001,521,85
200.0,1,0.0001,522,94
200.0,1,0.0001,523,87
200.0,1,0.0001,524,98
200.0,1,0.0001,525,86
200.0,1,0.0001,526,89
200.0,1,0.0001,527,80
200.0,1,0.0001,528,83
200.0,1,0.0001,529,74
200.0,1,0.0001,530,89
200.0,1,0.0001,531,97
200.0,1,0.0001,532,88
200.0,1,0.0001,533,105
200.0,1,0.0001,534,83
200.0,1,0.0001,535,85
200.0,1,0.0001,536,91
200.0,1,0.0001,537,92
200.0,1,0.0001,538,91
200.0,1,0.0001,539,60
200.0,1,0.0001,540,92
200.0,1,0.0001,541,98
200.0,1,0.0001,542,87
200.0,1,0.0001,543,109
200.0,1,0.0001,544,88
200.0,1,0.0001,545,77
200.0,1,0.0001,546,87
200.0,1,0.0001,547,87
200.0,1,0.0001,548,82
200.0,1,0.0001,549,99
200.0,1,0.0001,550,68
200.0,1,0.0001,551,82
200.0,1,0.0001,552,81
200.0,1,0.0001,553,103
200.0,1,0.0001,554,85
200.0,1,0.0001,555,80
200.0,1,0.0001,556,82
200.0,1,0.0001,557,83
200.0,1,0.0001,558,69
200.0,1,0.0001,559,70
200.0,1,0.0001,560,81
200.0,1,0.0001,561,101
200.0,1,0.0001,562,97
200.0,1,0.0001,563,66
200.0,1,0.0001,564,95
200.0,1,0.0001,565,94
200.0,1,0.0001,566,88
200.0,1,0.0001,567,83
200.0,1,0.0001,568,79
200.0,1,0.0001,569,77
200.0,1,0.0001,570,80
200.0,1,0.0001,571,82
200.0,1,0.0001,572,80
200.0,1,0.0001,573,83
200.0,1,0.0001,574,86
200.0,1,0.0001,575,80
200.0,1,0.0001,576,88
200.0,1,0.0001,577,97
200.0,1,0.0001,578,76
200.0,1,0.0001,579,94
200.0,1,0.0001,580,109
200.0,1,0.0001,581,96
200.0,1,0.0001,582,87
200.0,1,0.0001,583,89
200.0,1,0.0001,584,84
200.0,1,0.0001,585,79
200.0,1,0.0001,586,89
200.0,1,0.0001,587,74
200.0,1,0.0001,588,78
200.0,1,0.0001,589,75
200.0,1,0.0001,590,75
200.0,1,0.0001,591,84
200.0,1,0.0001,592,78
200.0,1,0.0001,593,87
200.0,1,0.0001,594,81
200.0,1,0.0001,595,81
200.0,1,0.0001,596,81
200.0,1,0.0001,597,66
200.0,1,0.0001,598,78
200.0,1,0.0001,599,76
200.0,1,0.0001,600,87
200.0,1,0.0001,601,69
200.0,1,0.0001,602,91
200.0,1,0.0001,603,96
200.0,1,0.0001,604,79
200.0,1,0.0001,605,86
200.0,1,0.0001,606,76
200.0,1,0.0001,607,94
200.0,1,0.0001,608,85
200.0,1,0.0001,609,93
200.0,1,0.0001,610,79
200.0,1,0.0001,611,79
200.0,1,0.0001,612,105
200.0,1,0.0001,613,65
200.0,1,0.0001,614,97
200.0,1,0.0001,615,86
200.0,1,0.0001,616,81
200.0,1,0.0001,617,62
200.0,1,0.0001,618,85
200.0,1,0.0001,619,82
200.0,1,0.0001,620,73
200.0,1,0.0001,621,98
200.0,1,0.0001,622,89
200.0,1,0.0001,623,83
200.0,1,0.0001,624,84
200.0,1,0.0001,625,93
200.0,1,0.0001,626,87
200.0,1,0.0001,627,79
200.0,1,0.0001,628,76
200.0,1,0.0001,629,84
200.0,1,0.0001,630,77
200.0,1,0.0001,631,75
200.0,1,0.0001,632,81
200.0,1,0.0001,633,99
200.0,1,0.0001,634,97
200.0,1,0.0001,635,97
200.0,1,0.0001,636,78
200.0,1,0.0001,637,80
200.0,1,0.0001,638,77
200.0,1,0.0001,639,80
200.0,1,0.0001,640,81
200.0,1,0.0001,641,106
200.0,1,0.0001,642,84
200.0,1,0.0001,643,91
200.0,1,0.0001,644,81
200.0,1,0.0001,645,87
200.0,1,0.0001,646,74
200.0,1,0.0001,647,75
200.0,1,0.0001,648,79
200.0,1,0.0001,649,66
200.0,1,0.0001,650,92
200.0,1,0.0001,651,96
200.0,1,0.0001,652,89
200.0,1,0.0001,653,83
200.0,1,0.0001,654,73
200.0,1,0.0001,655,80
200.0,1,0.0001,656,80
200.0,1,0.0001,657,86
200.0,1,0.0001,658,91
200.0,1,0.0001,659,77
200.0,1,0.0001,660,88
200.0,1,0.0001,661,76
200.0,1,0.0001,662,91
200.0,1,0.0001,663,73
200.0,1,0.0001,664,83
200.0,1,0.0001,665,92
200.0,1,0.0001,666,68
200.0,1,0.0001,667,74
200.0,1,0.0001,668,86
200.0,1,0.0001,669,95
200.0,1,0.0001,670,73
200.0,1,0.0001,671,77
200.0,1,0.0001,672,76
200.0,1,0.0001,673,88
200.0,1,0.0001,674,97
200.0,1,0.0001,675,76
200.0,1,0.0001,676,85
200.0,1,0.0001,677,80
200.0,1,0.0001,678,58
200.0,1,0.0001,679,79
200.0,1,0.0001,680,84
200.0,1,0.0001,681,85
200.0,1,0.0001,682,93
200.0,1,0.0001,683,71
200.0,1,0.0001,684,85
200.0,1,0.0001,685,70
200.0,1,0.0001,686,82
200.0,1,0.0001,687,78
200.0,1,0.0001,688,90
200.0,1,0.0001,689,99
200.0,1,0.0001,690,96
200.0,1,0.0001,691,78
200.0,1,0.0001,692,83
200.0,1,0.0001,693,98
200.0,1,0.0001,694,97
200.0,1,0.0001,695,80
200.0,1,0.0001,696,80
200.0,1,0.0001,697,81
200.0,1,0.0001,698,77
200.0,1,0.0001,699,80
200.0,1,0.0001,700,89
200.0,1,0.0001,701,85
200.0,1,0.0001,702,94
200.0,1,0.0001,703,74
200.0,1,0.0001,704,93
200.0,1,0.0001,705,71
200.0,1,0.0001,706,88
200.0,1,0.0001,707,83
200.0,1,0.0001,708,100
200.0,1,0.0001,709,92
200.0,1,0.0001,710,91
200.0,1,0.0001,711,91
200.0,1,0.0001,712,98
200.0,1,0.0001,713,100
200.0,1,0.0001,714,93
200.0,1,0.0001,715,86
200.0,1,0.0001,716,86
200.0,1,0.0001,717,89
200.0,1,0.0001,718,90
200.0,1,0.0001,719,91
200.0,1,0.0001,720,82
200.0,1,0.0001,721,80
200.0,1,0.0001,722,88
200.0,1,0.0001,723,84
200.0,1,0.0001,724,81
200.0,1,0.0001,725,88
200.0,1,0.0001,726,91
200.0,1,0.0001,727,76
200.0,1,0.0001,728,75
200.0,1,0.0001,729,108
200.0,1,0.0001,730,81
200.0,1,0.0001,731,93
200.0,1,0.0001,732,101
200.0,1,0.0001,733,81
200.0,1,0.0001,734,90
200.0,1,0.0001,735,84
200.0,1,0.0001,736,82
200.0,1,0.0001,737,81
200.0,1,0.0001,738,100
200.0,1,0.0001,739,85
200.0,1,0.0001,740,85
200.0,1,0.0001,741,70
200.0,1,0.0001,742,81
200.0,1,0.0001,743,82
200.0,1,0.0001,744,85
200.0,1,0.0001,745,87
200.0,1,0.0001,746,96
200.0,1,0.0001,747,84
200.0,1,0.0001,748,104
200.0,1,0.0001,749,80
