name,rep,s,Ua,distance,fstOutliers
c0/run8.s0.002.Ua0.1.d100.csv,8,0.002,0.1,100,0
c0/run1.s0.0002.Ua0.1.d200.csv,1,0.0002,0.1,200,0
c0/run29.s0.0002.Ua10.0.d100.csv,29,0.0002,10.0,100,0
c0/run20.s0.0006.Ua1.0.d400.csv,20,0.0006,1.0,400,9
c0/run24.s0.0002.Ua10.0.d400.csv,24,0.0002,10.0,400,20
c0/run7.s0.0002.Ua1.0.d300.csv,7,0.0002,1.0,300,3
c0/run4.s0.006.Ua10.0.d300.csv,4,0.006,10.0,300,188
c0/run3.s0.0006.Ua0.1.d300.csv,3,0.0006,0.1,300,0
c0/run25.s0.006.Ua1.0.d400.csv,25,0.006,1.0,400,24
c0/run19.s0.0006.Ua1.0.d300.csv,19,0.0006,1.0,300,5
c0/run16.s0.02.Ua0.1.d200.csv,16,0.02,0.1,200,1
c0/run22.s0.0006.Ua0.1.d100.csv,22,0.0006,0.1,100,1
c0/run30.s0.0006.Ua10.0.d400.csv,30,0.0006,10.0,400,76
c0/run18.s0.02.Ua0.1.d400.csv,18,0.02,0.1,400,0
c0/run24.s0.006.Ua10.0.d300.csv,24,0.006,10.0,300,187
c0/run6.s0.006.Ua1.0.d400.csv,6,0.006,1.0,400,22
c0/run2.s0.0002.Ua10.0.d300.csv,2,0.0002,10.0,300,9
c0/run21.s0.006.Ua10.0.d400.csv,21,0.006,10.0,400,257
c0/run13.s0.002.Ua0.1.d200.csv,13,0.002,0.1,200,1
c0/run16.s0.006.Ua0.1.d400.csv,16,0.006,0.1,400,1
c0/run11.s0.0006.Ua0.1.d200.csv,11,0.0006,0.1,200,0
c0/run4.s0.006.Ua0.1.d200.csv,4,0.006,0.1,200,3
c0/run21.s0.0002.Ua0.1.d200.csv,21,0.0002,0.1,200,0
c0/run22.s0.0006.Ua0.1.d200.csv,22,0.0006,0.1,200,0
c0/run26.s0.002.Ua0.1.d100.csv,26,0.002,0.1,100,0
c0/run1.s0.002.Ua1.0.d300.csv,1,0.002,1.0,300,8
c0/run22.s0.02.Ua0.1.d300.csv,22,0.02,0.1,300,4
c0/run30.s0.02.Ua0.1.d100.csv,30,0.02,0.1,100,0
c0/run12.s0.006.Ua0.1.d200.csv,12,0.006,0.1,200,2
c0/run18.s0.006.Ua10.0.d400.csv,18,0.006,10.0,400,243
c0/run6.s0.0006.Ua1.0.d400.csv,6,0.0006,1.0,400,6
c0/run2.s0.006.Ua1.0.d400.csv,2,0.006,1.0,400,26
c0/run8.s0.0002.Ua0.1.d300.csv,8,0.0002,0.1,300,0
c0/run26.s0.0006.Ua0.1.d400.csv,26,0.0006,0.1,400,2
c0/run26.s0.006.Ua1.0.d100.csv,26,0.006,1.0,100,4
