shat,w_size,M,pA,rep,o999,o9999,o99999,o999_irs,o9999_irs,o99999_irs
0.02,10000.0,10,0.001,104,0.009075,0.0043,0.001125,0.003325,0.0016,0.00045
0.02,10000.0,10,0.001,105,0.00905,0.00445,0.0013,0.003325,0.00185,0.00065
0.02,10000.0,10,0.001,106,0.008975,0.004775,0.001325,0.00365,0.002275,0.000775
0.02,10000.0,10,0.001,107,0.009275,0.004525,0.0014,0.003725,0.0017,0.00065
0.02,10000.0,10,0.001,108,0.00915,0.0045,0.0014,0.003075,0.0018,0.000825
0.02,10000.0,10,0.001,109,0.009625,0.004975,0.0014,0.003425,0.002125,0.000775
0.02,10000.0,10,0.001,110,0.0097,0.0046,0.00155,0.003675,0.00185,0.00075
0.02,10000.0,10,0.001,111,0.009275,0.004725,0.001475,0.0032,0.0018,0.0007
0.02,10000.0,10,0.001,112,0.00985,0.004775,0.001475,0.0038,0.00195,0.00075
0.02,10000.0,10,0.001,113,0.009475,0.00455,0.001325,0.00375,0.002,0.000575
0.02,10000.0,10,0.001,114,0.00995,0.0043,0.001425,0.003775,0.002,0.000825
0.02,10000.0,10,0.001,115,0.0098,0.004725,0.00145,0.003525,0.0019,0.00075
0.02,10000.0,10,0.001,116,0.009675,0.00465,0.0014,0.00365,0.002,0.0007
0.02,10000.0,10,0.001,117,0.00955,0.004525,0.00145,0.003675,0.001825,0.0007
0.02,10000.0,10,0.001,118,0.009125,0.004025,0.001025,0.003175,0.0016,0.0006
0.02,10000.0,10,0.001,119,0.008975,0.004425,0.001475,0.0034,0.00175,0.0006
0.02,10000.0,10,0.001,120,0.009275,0.004475,0.001425,0.003525,0.00185,0.00075
0.02,10000.0,10,0.001,121,0.00905,0.004575,0.001425,0.00315,0.001875,0.000725
0.02,10000.0,10,0.001,122,0.0086,0.004225,0.001375,0.0032,0.00165,0.000675
0.02,10000.0,10,0.001,123,0.009475,0.0047,0.00125,0.003375,0.002,0.000625
0.02,10000.0,10,0.001,124,0.0093,0.004575,0.001275,0.003525,0.0019,0.0006
0.02,10000.0,10,0.001,125,0.009475,0.004525,0.0016,0.003625,0.002175,0.000925
0.02,10000.0,10,0.001,126,0.009025,0.004825,0.001525,0.003225,0.00185,0.000625
0.02,10000.0,10,0.001,127,0.009525,0.004775,0.001225,0.00355,0.001975,0.000575
0.02,10000.0,10,0.001,128,0.009175,0.004375,0.001525,0.003275,0.0019,0.000725
0.02,10000.0,10,0.001,129,0.008775,0.0043,0.00135,0.0031,0.001775,0.000675
0.02,10000.0,10,0.001,130,0.008825,0.004225,0.001475,0.003225,0.001675,0.0007
0.02,10000.0,10,0.001,131,0.008875,0.00455,0.0012,0.00335,0.001775,0.0006
0.02,10000.0,10,0.001,132,0.0101,0.005,0.001625,0.0034,0.001975,0.00095
0.02,10000.0,10,0.001,133,0.00865,0.004375,0.001375,0.00345,0.002075,0.00065
0.02,10000.0,10,0.001,134,0.0093,0.004225,0.001425,0.0038,0.0018,0.000725
0.02,10000.0,10,0.001,135,0.00955,0.005025,0.001725,0.0037,0.002275,0.000975
0.02,10000.0,10,0.001,136,0.008675,0.0045,0.00125,0.002775,0.0017,0.00065
0.02,10000.0,10,0.001,137,0.008875,0.004275,0.001325,0.003575,0.0019,0.00055
0.02,10000.0,10,0.001,138,0.0084,0.0039,0.0012,0.003025,0.00165,0.000625
0.02,10000.0,10,0.001,139,0.008625,0.00425,0.001475,0.003125,0.0018,0.000675
0.02,10000.0,10,0.001,140,0.0089,0.00465,0.001275,0.00345,0.002,0.000475
0.02,10000.0,10,0.001,141,0.0088,0.004075,0.001175,0.003575,0.00175,0.000475
0.02,10000.0,10,0.001,142,0.009225,0.0045,0.0013,0.003525,0.001925,0.0006
0.02,10000.0,10,0.001,143,0.00915,0.00465,0.0015,0.00385,0.002175,0.000825
0.02,10000.0,10,0.001,144,0.0097,0.004725,0.001275,0.00365,0.001875,0.000625
0.02,10000.0,10,0.001,145,0.00925,0.004475,0.0013,0.0035,0.002075,0.00075
0.02,10000.0,10,0.001,146,0.00905,0.004575,0.0013,0.003475,0.0021,0.000675
0.02,10000.0,10,0.001,147,0.009875,0.0051,0.001275,0.003675,0.002175,0.00065
0.02,10000.0,10,0.001,148,0.009,0.0047,0.0015,0.0035,0.002,0.000725
0.02,10000.0,10,0.001,149,0.008625,0.003875,0.0009,0.00295,0.001525,0.000425
0.02,10000.0,10,0.001,150,0.0097,0.004975,0.00155,0.003975,0.00235,0.001
0.02,10000.0,10,0.001,151,0.0092,0.004675,0.00145,0.003475,0.001975,0.000825
0.02,10000.0,10,0.001,152,0.009025,0.00485,0.00165,0.003775,0.002225,0.0008
0.02,10000.0,10,0.001,153,0.008475,0.004425,0.001325,0.00325,0.001725,0.000625
0.02,10000.0,10,0.001,154,0.008875,0.004325,0.001225,0.003375,0.0018,0.00055
0.02,10000.0,10,0.001,155,0.009125,0.00425,0.001625,0.00325,0.0018,0.00075
0.02,10000.0,10,0.001,156,0.008975,0.003975,0.001025,0.00305,0.001575,0.0005
0.02,10000.0,10,0.001,157,0.0091,0.004475,0.001575,0.00345,0.001775,0.000725
0.02,10000.0,10,0.001,158,0.00885,0.0042,0.00125,0.00295,0.001675,0.00055
0.02,10000.0,10,0.001,159,0.00925,0.004725,0.00115,0.00335,0.001875,0.000625
0.02,10000.0,10,0.001,160,0.008875,0.00435,0.00125,0.003175,0.001675,0.000475
0.02,10000.0,10,0.001,161,0.0094,0.0046,0.001525,0.00365,0.002,0.000825
0.02,10000.0,10,0.001,162,0.009325,0.0043,0.0014,0.003275,0.001675,0.000675
0.02,10000.0,10,0.001,163,0.00915,0.00415,0.001475,0.003575,0.001675,0.0008
0.02,10000.0,10,0.001,164,0.009475,0.0046,0.001125,0.003975,0.002325,0.000675
0.02,10000.0,10,0.001,165,0.0094,0.00415,0.001325,0.003175,0.00155,0.00065
0.02,10000.0,10,0.001,166,0.00965,0.004875,0.0014,0.003575,0.0019,0.0007
0.02,10000.0,10,0.001,167,0.0094,0.00465,0.00165,0.0035,0.0019,0.00085
0.02,10000.0,10,0.001,168,0.009325,0.003975,0.00125,0.0037,0.0019,0.00065
0.02,10000.0,10,0.001,169,0.009575,0.004675,0.001475,0.00345,0.0019,0.000725
0.02,10000.0,10,0.001,170,0.009075,0.0043,0.00125,0.003475,0.0016,0.0004
0.02,10000.0,10,0.001,171,0.00885,0.004425,0.00145,0.00325,0.001775,0.0007
0.02,10000.0,10,0.001,172,0.00835,0.0041,0.001525,0.0031,0.0018,0.000825
0.02,10000.0,10,0.001,173,0.0089,0.004275,0.001175,0.002875,0.001675,0.000625
0.02,10000.0,10,0.001,174,0.008575,0.004,0.001075,0.003425,0.001725,0.0006
0.02,10000.0,10,0.001,175,0.0094,0.004225,0.00125,0.003325,0.0017,0.0007
0.02,10000.0,10,0.001,176,0.00895,0.004,0.001025,0.003525,0.001725,0.00065
0.02,10000.0,10,0.001,177,0.00925,0.004725,0.00195,0.0035,0.001975,0.000925
0.02,10000.0,10,0.001,178,0.00945,0.0047,0.00145,0.0032,0.001875,0.000625
0.02,10000.0,10,0.001,179,0.00935,0.0045,0.001575,0.0034,0.00195,0.000725
0.02,10000.0,10,0.001,180,0.01,0.00495,0.001675,0.0038,0.00205,0.0008
0.02,10000.0,10,0.001,181,0.008925,0.004075,0.00125,0.003475,0.001825,0.0006
0.02,10000.0,10,0.001,182,0.00955,0.00455,0.0014,0.0037,0.001925,0.00085
0.02,10000.0,10,0.001,183,0.0098,0.0048,0.00115,0.00345,0.001925,0.00045
0.02,10000.0,10,0.001,184,0.009925,0.0044,0.000975,0.003825,0.0016,0.0004
0.02,10000.0,10,0.001,185,0.009375,0.00445,0.0016,0.0034,0.00195,0.00085
0.02,10000.0,10,0.001,186,0.0093,0.0049,0.001275,0.003375,0.002,0.000675
0.02,10000.0,10,0.001,187,0.007975,0.00385,0.001325,0.003275,0.0018,0.000725
0.02,10000.0,10,0.001,188,0.0096,0.004375,0.00125,0.003375,0.0018,0.00075
0.02,10000.0,10,0.001,189,0.0099,0.0047,0.001325,0.003825,0.00195,0.000675
0.02,10000.0,10,0.001,190,0.009625,0.004875,0.001225,0.00355,0.001975,0.00075
0.02,10000.0,10,0.001,191,0.0085,0.004275,0.00125,0.003375,0.0019,0.0007
0.02,10000.0,10,0.001,192,0.008525,0.0046,0.001475,0.002875,0.00185,0.0008
0.02,10000.0,10,0.001,193,0.009075,0.004,0.001125,0.003475,0.001775,0.000625
0.02,10000.0,10,0.001,194,0.0091,0.0044,0.00145,0.003375,0.001825,0.0008
0.02,10000.0,10,0.001,195,0.009175,0.004325,0.001425,0.0036,0.0018,0.000675
0.02,10000.0,10,0.001,196,0.00895,0.0043,0.0013,0.003275,0.001775,0.000725
0.02,10000.0,10,0.001,197,0.00865,0.004325,0.00125,0.002775,0.0017,0.000625
0.02,10000.0,10,0.001,198,0.009175,0.004375,0.001275,0.003475,0.001575,0.000475
0.02,10000.0,10,0.001,199,0.009325,0.004575,0.00145,0.003725,0.002025,0.00075
0.02,10000.0,10,0.001,200,0.0096,0.0046,0.00115,0.003725,0.002,0.000625
0.02,10000.0,10,0.001,201,0.009475,0.004725,0.0013,0.0031,0.001825,0.000625
0.02,10000.0,10,0.001,202,0.009,0.004125,0.0012,0.003375,0.001375,0.00035
0.02,10000.0,10,0.001,203,0.008925,0.004125,0.001275,0.003325,0.001725,0.000675
0.02,10000.0,10,0.001,204,0.008675,0.0039,0.001075,0.003025,0.0015,0.000525
0.02,10000.0,10,0.001,205,0.008825,0.00415,0.0013,0.003675,0.001725,0.0006
0.02,10000.0,10,0.001,206,0.0084,0.003825,0.001425,0.003175,0.001925,0.00085
0.02,10000.0,10,0.001,207,0.008975,0.004225,0.001075,0.003075,0.0016,0.00055
0.02,10000.0,10,0.001,208,0.009225,0.004475,0.001075,0.003275,0.00175,0.000425
0.02,10000.0,10,0.001,209,0.008725,0.004225,0.001375,0.0035,0.0017,0.000575
0.02,10000.0,10,0.001,210,0.009275,0.004875,0.00145,0.0036,0.002075,0.000625
0.02,10000.0,10,0.001,211,0.00925,0.004375,0.001025,0.003325,0.001675,0.00045
0.02,10000.0,10,0.001,212,0.009275,0.004425,0.00145,0.0036,0.001925,0.000625
0.02,10000.0,10,0.001,213,0.008575,0.003925,0.00115,0.0036,0.001825,0.000575
0.02,10000.0,10,0.001,214,0.00855,0.004325,0.00125,0.0031,0.00185,0.000725
0.02,10000.0,10,0.001,215,0.0091,0.004525,0.001425,0.003375,0.001775,0.000725
0.02,10000.0,10,0.001,216,0.00855,0.003975,0.00125,0.003025,0.0015,0.00045
0.02,10000.0,10,0.001,217,0.00915,0.004675,0.0012,0.003625,0.002225,0.000625
0.02,10000.0,10,0.001,218,0.009225,0.00445,0.00135,0.003625,0.001875,0.00055
0.02,10000.0,10,0.001,219,0.00905,0.004025,0.001125,0.00335,0.0016,0.000525
0.02,10000.0,10,0.001,220,0.008875,0.004475,0.001375,0.0034,0.001975,0.0006
0.02,10000.0,10,0.001,221,0.008925,0.004325,0.0013,0.00335,0.00185,0.000575
0.02,10000.0,10,0.001,222,0.00915,0.004475,0.001425,0.00335,0.001925,0.000625
0.02,10000.0,10,0.001,223,0.009425,0.0044,0.00155,0.00395,0.00205,0.000875
0.02,10000.0,10,0.001,224,0.0086,0.0043,0.00145,0.003075,0.0017,0.000625
0.02,10000.0,10,0.001,225,0.008575,0.003925,0.00125,0.003325,0.001675,0.000675
0.02,10000.0,10,0.001,226,0.009425,0.00475,0.001525,0.003625,0.00235,0.000925
0.02,10000.0,10,0.001,227,0.008875,0.004225,0.001225,0.00345,0.00195,0.000675
0.02,10000.0,10,0.001,228,0.008775,0.004625,0.001375,0.0033,0.00195,0.000775
0.02,10000.0,10,0.001,229,0.008775,0.0046,0.001275,0.003475,0.00205,0.000525
0.02,10000.0,10,0.001,230,0.008675,0.004175,0.001575,0.0031,0.001875,0.000575
